timestamp,behavior,mobility,orientation
2026-01-03T07:53:34.219208Z,INTERACTIVE,2.203,136.622
2026-01-03T07:53:34.345045Z,INTERACTIVE,2.356,140.797
2026-01-03T07:53:34.454901Z,INTERACTIVE,2.474,146.898
2026-01-03T07:53:34.581030Z,INTERACTIVE,2.577,151.148
2026-01-03T07:53:34.734616Z,INTERACTIVE,2.72,153.175
2026-01-03T07:53:34.857021Z,INTERACTIVE,2.839,155.147
2026-01-03T07:53:34.965714Z,INTERACTIVE,2.953,157.102
2026-01-03T07:53:35.105925Z,INTERACTIVE,3.053,157.096
2026-01-03T07:53:35.214711Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:35.352438Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:35.445486Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:35.541763Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:35.649485Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:35.758106Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:35.868214Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:35.976217Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:36.069061Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:36.178889Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:36.271868Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:36.395702Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:36.535326Z,INTERACTIVE,3.139,157.095
2026-01-03T07:53:36.693658Z,INTERACTIVE,3.235,157.281
2026-01-03T07:53:36.817326Z,INTERACTIVE,3.331,157.465
2026-01-03T07:53:36.956950Z,INTERACTIVE,3.43,157.648
2026-01-03T07:53:37.084605Z,INTERACTIVE,3.537,157.83
2026-01-03T07:53:37.207990Z,INTERACTIVE,3.647,158.014
2026-01-03T07:53:37.316229Z,INTERACTIVE,3.657,158.001
2026-01-03T07:53:37.441447Z,INTERACTIVE,3.629,157.987
2026-01-03T07:53:37.646894Z,INTERACTIVE,3.573,155.203
2026-01-03T07:53:37.802965Z,INTERACTIVE,3.488,149.184
2026-01-03T07:53:37.926968Z,INTERACTIVE,3.388,143.163
2026-01-03T07:53:38.038025Z,INTERACTIVE,3.26,133.952
2026-01-03T07:53:38.147240Z,INTERACTIVE,3.152,124.741
2026-01-03T07:53:38.257068Z,INTERACTIVE,3.077,118.295
2026-01-03T07:53:38.382865Z,INTERACTIVE,3.031,115.101
2026-01-03T07:53:38.489946Z,INTERACTIVE,3.002,111.893
2026-01-03T07:53:38.613904Z,INTERACTIVE,2.997,114.937
2026-01-03T07:53:38.721603Z,INTERACTIVE,3.006,117.984
2026-01-03T07:53:38.845046Z,INTERACTIVE,2.999,120.994
2026-01-03T07:53:38.968983Z,INTERACTIVE,2.96,123.986
2026-01-03T07:53:39.077982Z,INTERACTIVE,2.886,126.993
2026-01-03T07:53:39.171726Z,INTERACTIVE,2.775,124.275
2026-01-03T07:53:39.296113Z,INTERACTIVE,2.621,121.518
2026-01-03T07:53:39.420223Z,INTERACTIVE,2.445,116.364
2026-01-03T07:53:39.545947Z,INTERACTIVE,2.249,108.054
2026-01-03T07:53:39.671335Z,INTERACTIVE,2.059,103.966
2026-01-03T07:53:39.792229Z,INTERACTIVE,1.908,102.517
2026-01-03T07:53:39.887175Z,INTERACTIVE,1.789,98.095
2026-01-03T07:53:40.011563Z,INTERACTIVE,1.683,96.111
2026-01-03T07:53:40.106054Z,INTERACTIVE,1.54,97.274
2026-01-03T07:53:40.201471Z,INTERACTIVE,1.326,98.241
2026-01-03T07:53:40.326017Z,INTERACTIVE,1.113,99.244
2026-01-03T07:53:40.433887Z,INTERACTIVE,0.915,103.257
2026-01-03T07:53:40.558094Z,INTERACTIVE,0.724,107.273
2026-01-03T07:53:40.666645Z,INTERACTIVE,0.611,111.302
2026-01-03T07:53:40.792761Z,INTERACTIVE,0.593,114.967
2026-01-03T07:53:40.887239Z,INTERACTIVE,0.577,118.632
2026-01-03T07:53:41.009834Z,INTERACTIVE,0.56,122.299
2026-01-03T07:53:41.104319Z,INTERACTIVE,0.537,125.964
2026-01-03T07:53:41.229594Z,INTERACTIVE,0.514,129.63
2026-01-03T07:53:41.353818Z,INTERACTIVE,0.488,129.628
2026-01-03T07:53:41.477947Z,PASSIVE,0.457,129.626
2026-01-03T07:53:41.572787Z,PASSIVE,0.417,129.624
2026-01-03T07:53:41.697596Z,PASSIVE,0.381,129.609
2026-01-03T07:53:41.806085Z,PASSIVE,0.345,129.595
2026-01-03T07:53:41.916666Z,PASSIVE,0.299,129.953
2026-01-03T07:53:42.025858Z,PASSIVE,0.252,130.312
2026-01-03T07:53:42.133572Z,PASSIVE,0.213,130.672
2026-01-03T07:53:42.257828Z,PASSIVE,0.19,131.04
2026-01-03T07:53:42.366990Z,PASSIVE,0.172,131.408
2026-01-03T07:53:42.491084Z,PASSIVE,0.162,131.406
2026-01-03T07:53:42.598906Z,PASSIVE,0.161,131.403
2026-01-03T07:53:42.721573Z,PASSIVE,0.164,131.398
2026-01-03T07:53:42.846627Z,PASSIVE,0.164,131.396
2026-01-03T07:53:42.957171Z,PASSIVE,0.166,127.807
2026-01-03T07:53:43.080135Z,PASSIVE,0.17,124.218
2026-01-03T07:53:43.189785Z,PASSIVE,0.173,120.63
2026-01-03T07:53:43.301121Z,PASSIVE,0.173,117.045
2026-01-03T07:53:43.409950Z,PASSIVE,0.168,113.459
2026-01-03T07:53:43.534017Z,PASSIVE,0.165,109.34
2026-01-03T07:53:43.655868Z,PASSIVE,0.163,105.221
2026-01-03T07:53:43.765960Z,PASSIVE,0.162,101.101
2026-01-03T07:53:43.874229Z,PASSIVE,0.162,96.978
2026-01-03T07:53:43.999071Z,PASSIVE,0.171,92.859
2026-01-03T07:53:44.092570Z,PASSIVE,0.178,87.176
2026-01-03T07:53:44.203600Z,PASSIVE,0.182,81.494
2026-01-03T07:53:44.323968Z,PASSIVE,0.193,75.807
2026-01-03T07:53:44.445010Z,PASSIVE,0.206,70.118
2026-01-03T07:53:44.555817Z,PASSIVE,0.216,64.462
2026-01-03T07:53:44.664996Z,INTERACTIVE,0.226,64.484
2026-01-03T07:53:44.775077Z,INTERACTIVE,0.237,64.5
2026-01-03T07:53:44.897938Z,INTERACTIVE,0.243,70.108
2026-01-03T07:53:45.007331Z,INTERACTIVE,0.245,79.804
2026-01-03T07:53:45.133427Z,INTERACTIVE,0.245,89.462
2026-01-03T07:53:45.239240Z,INTERACTIVE,0.246,95.11
2026-01-03T07:53:45.348701Z,INTERACTIVE,0.248,100.765
2026-01-03T07:53:45.457929Z,INTERACTIVE,0.249,104.947
2026-01-03T07:53:45.568871Z,INTERACTIVE,0.246,108.727
2026-01-03T07:53:45.691929Z,INTERACTIVE,0.243,112.511
2026-01-03T07:53:45.787342Z,INTERACTIVE,0.239,120.31
2026-01-03T07:53:45.896465Z,INTERACTIVE,0.232,128.109
2026-01-03T07:53:46.005209Z,INTERACTIVE,0.22,131.793
2026-01-03T07:53:46.131753Z,INTERACTIVE,0.212,131.793
2026-01-03T07:53:46.240646Z,INTERACTIVE,0.203,131.794
2026-01-03T07:53:46.369426Z,INTERACTIVE,0.193,134.671
2026-01-03T07:53:46.519880Z,INTERACTIVE,0.188,137.548
2026-01-03T07:53:46.641934Z,INTERACTIVE,0.189,143.045
2026-01-03T07:53:46.735975Z,INTERACTIVE,0.191,148.541
2026-01-03T07:53:46.847850Z,INTERACTIVE,0.194,154.036
2026-01-03T07:53:46.974277Z,INTERACTIVE,0.196,156.657
2026-01-03T07:53:47.143245Z,INTERACTIVE,0.195,161.831
2026-01-03T07:53:47.253510Z,INTERACTIVE,0.191,164.391
2026-01-03T07:53:47.377339Z,INTERACTIVE,0.18,166.948
2026-01-03T07:53:47.502010Z,INTERACTIVE,0.17,169.509
2026-01-03T07:53:47.594189Z,INTERACTIVE,0.161,174.582
2026-01-03T07:53:47.718211Z,INTERACTIVE,0.149,179.288
2026-01-03T07:53:47.812558Z,INTERACTIVE,0.133,183.987
2026-01-03T07:53:47.921385Z,INTERACTIVE,0.121,188.69
2026-01-03T07:53:48.031748Z,INTERACTIVE,0.109,195.551
2026-01-03T07:53:48.141583Z,INTERACTIVE,0.098,199.901
2026-01-03T07:53:48.264015Z,INTERACTIVE,0.092,199.874
2026-01-03T07:53:48.373370Z,INTERACTIVE,0.09,199.808
2026-01-03T07:53:48.468124Z,INTERACTIVE,0.088,199.742
2026-01-03T07:53:48.593882Z,INTERACTIVE,0.087,199.787
2026-01-03T07:53:48.716348Z,INTERACTIVE,0.085,201.844
2026-01-03T07:53:48.810343Z,INTERACTIVE,0.083,206.04
2026-01-03T07:53:48.934145Z,INTERACTIVE,0.082,208.286
2026-01-03T07:53:49.045632Z,INTERACTIVE,0.08,212.506
2026-01-03T07:53:49.165991Z,INTERACTIVE,0.08,216.501
2026-01-03T07:53:49.259833Z,INTERACTIVE,0.08,220.328
2026-01-03T07:53:49.382962Z,INTERACTIVE,0.081,224.203
2026-01-03T07:53:49.477176Z,INTERACTIVE,0.083,230.074
2026-01-03T07:53:49.600737Z,INTERACTIVE,0.085,233.967
2026-01-03T07:53:49.695928Z,INTERACTIVE,0.087,234.087
2026-01-03T07:53:49.803820Z,INTERACTIVE,0.088,232.364
2026-01-03T07:53:49.915394Z,INTERACTIVE,0.086,228.846
2026-01-03T07:53:50.023749Z,INTERACTIVE,0.084,225.323
2026-01-03T07:53:50.146863Z,INTERACTIVE,0.079,221.801
2026-01-03T07:53:50.268856Z,INTERACTIVE,0.074,220.003
2026-01-03T07:53:50.395027Z,INTERACTIVE,0.07,216.216
2026-01-03T07:53:50.502900Z,INTERACTIVE,0.069,214.223
2026-01-03T07:53:50.624998Z,INTERACTIVE,0.068,212.231
2026-01-03T07:53:50.718854Z,INTERACTIVE,0.073,210.241
2026-01-03T07:53:50.844099Z,INTERACTIVE,0.081,208.249
2026-01-03T07:53:50.951600Z,INTERACTIVE,0.089,206.049
2026-01-03T07:53:51.076788Z,INTERACTIVE,0.096,203.847
2026-01-03T07:53:51.184706Z,INTERACTIVE,0.103,201.646
2026-01-03T07:53:51.294861Z,INTERACTIVE,0.106,197.333
2026-01-03T07:53:51.406070Z,INTERACTIVE,0.106,195.245
2026-01-03T07:53:51.531110Z,INTERACTIVE,0.106,197.577
2026-01-03T07:53:51.639366Z,PASSIVE,0.106,199.937
2026-01-03T07:53:51.886305Z,PASSIVE,0.107,202.296
2026-01-03T07:53:52.010777Z,PASSIVE,0.107,206.735
2026-01-03T07:53:52.118474Z,PASSIVE,0.109,208.899
2026-01-03T07:53:52.214052Z,PASSIVE,0.111,206.658
2026-01-03T07:53:52.324676Z,PASSIVE,0.112,204.391
2026-01-03T07:53:52.431553Z,PASSIVE,0.113,199.95
2026-01-03T07:53:52.556826Z,INTERACTIVE,0.113,193.029
2026-01-03T07:53:52.663940Z,INTERACTIVE,0.118,183.621
2026-01-03T07:53:52.759085Z,PASSIVE,0.126,176.395
2026-01-03T07:53:52.869925Z,PASSIVE,0.137,171.604
2026-01-03T07:53:52.992693Z,PASSIVE,0.149,168.99
2026-01-03T07:53:53.101221Z,PASSIVE,0.166,168.891
2026-01-03T07:53:53.209830Z,PASSIVE,0.182,171.327
2026-01-03T07:53:53.304281Z,PASSIVE,0.194,173.764
2026-01-03T07:53:53.414176Z,PASSIVE,0.207,173.771
2026-01-03T07:53:53.539633Z,PASSIVE,0.22,173.779
2026-01-03T07:53:53.646772Z,PASSIVE,0.228,173.785
2026-01-03T07:53:53.754608Z,PASSIVE,0.233,173.792
2026-01-03T07:53:53.881263Z,PASSIVE,0.238,173.797
2026-01-03T07:53:54.004671Z,PASSIVE,0.242,173.797
2026-01-03T07:53:54.132520Z,PASSIVE,0.249,173.791
2026-01-03T07:53:54.255188Z,PASSIVE,0.263,171.281
2026-01-03T07:53:54.379689Z,PASSIVE,0.286,168.773
2026-01-03T07:53:54.503340Z,PASSIVE,0.311,166.265
2026-01-03T07:53:54.627228Z,PASSIVE,0.343,166.189
2026-01-03T07:53:54.735756Z,PASSIVE,0.371,166.114
2026-01-03T07:53:54.860422Z,PASSIVE,0.395,165.983
2026-01-03T07:53:54.985639Z,INTERACTIVE,0.413,162.901
2026-01-03T07:53:55.095733Z,INTERACTIVE,0.431,156.807
2026-01-03T07:53:55.205608Z,PASSIVE,0.444,148.284
2026-01-03T07:53:55.331519Z,PASSIVE,0.457,139.542
2026-01-03T07:53:55.441140Z,INTERACTIVE,0.469,129.673
2026-01-03T07:53:55.565801Z,INTERACTIVE,0.481,122.756
2026-01-03T07:53:55.693861Z,INTERACTIVE,0.494,122.526
2026-01-03T07:53:55.817756Z,INTERACTIVE,0.506,125.242
2026-01-03T07:53:55.924889Z,INTERACTIVE,0.516,128.183
2026-01-03T07:53:56.033635Z,INTERACTIVE,0.519,134.811
2026-01-03T07:53:56.142688Z,INTERACTIVE,0.515,141.435
2026-01-03T07:53:56.329138Z,INTERACTIVE,0.505,141.4
2026-01-03T07:53:56.452804Z,INTERACTIVE,0.492,138.419
2026-01-03T07:53:56.576801Z,INTERACTIVE,0.475,135.431
2026-01-03T07:53:56.686350Z,INTERACTIVE,0.461,132.444
2026-01-03T07:53:56.812598Z,INTERACTIVE,0.45,129.46
2026-01-03T07:53:56.921719Z,INTERACTIVE,0.44,129.459
2026-01-03T07:53:57.044580Z,INTERACTIVE,0.429,129.457
2026-01-03T07:53:57.137158Z,INTERACTIVE,0.423,129.458
2026-01-03T07:53:57.232572Z,INTERACTIVE,0.417,132.328
2026-01-03T07:53:57.343680Z,INTERACTIVE,0.413,137.914
2026-01-03T07:53:57.481563Z,INTERACTIVE,0.409,143.501
2026-01-03T07:53:57.591543Z,INTERACTIVE,0.402,149.09
2026-01-03T07:53:57.702147Z,INTERACTIVE,0.384,154.674
2026-01-03T07:53:57.824767Z,INTERACTIVE,0.36,157.39
2026-01-03T07:53:57.948758Z,INTERACTIVE,0.333,157.39
2026-01-03T07:53:58.043538Z,INTERACTIVE,0.3,154.491
2026-01-03T07:53:58.170333Z,INTERACTIVE,0.272,151.593
2026-01-03T07:53:58.292955Z,INTERACTIVE,0.251,148.691
2026-01-03T07:53:58.418318Z,INTERACTIVE,0.236,145.787
2026-01-03T07:53:58.543131Z,INTERACTIVE,0.222,142.893
2026-01-03T07:53:58.666678Z,INTERACTIVE,0.216,142.922
2026-01-03T07:53:58.793300Z,INTERACTIVE,0.209,140.042
2026-01-03T07:53:58.917324Z,INTERACTIVE,0.202,137.165
2026-01-03T07:53:59.025574Z,INTERACTIVE,0.195,134.29
2026-01-03T07:53:59.120291Z,INTERACTIVE,0.185,127.704
2026-01-03T07:53:59.229956Z,INTERACTIVE,0.173,117.046
2026-01-03T07:53:59.354343Z,INTERACTIVE,0.162,109.294
2026-01-03T07:53:59.476400Z,INTERACTIVE,0.154,101.542
2026-01-03T07:53:59.615524Z,INTERACTIVE,0.149,93.788
2026-01-03T07:53:59.740235Z,INTERACTIVE,0.147,89.736
2026-01-03T07:53:59.848310Z,INTERACTIVE,0.149,89.731
2026-01-03T07:53:59.957666Z,INTERACTIVE,0.149,89.73
2026-01-03T07:54:00.084326Z,INTERACTIVE,0.149,89.727
2026-01-03T07:54:00.194240Z,INTERACTIVE,0.148,89.728
2026-01-03T07:54:00.303198Z,INTERACTIVE,0.146,89.73
2026-01-03T07:54:00.428615Z,INTERACTIVE,0.143,89.731
2026-01-03T07:54:00.537903Z,INTERACTIVE,0.141,89.725
2026-01-03T07:54:00.676557Z,INTERACTIVE,0.139,84.222
2026-01-03T07:54:00.801585Z,INTERACTIVE,0.136,67.491
2026-01-03T07:54:00.909853Z,INTERACTIVE,0.133,50.76
2026-01-03T07:54:01.034527Z,PASSIVE,0.127,34.036
2026-01-03T07:54:01.144377Z,PASSIVE,0.123,17.302
2026-01-03T07:54:01.266679Z,PASSIVE,0.118,6.081
2026-01-03T07:54:01.375629Z,PASSIVE,0.115,6.117
2026-01-03T07:54:01.469376Z,PASSIVE,0.114,6.149
